osm_id,path,level,name
20247346,TR.06.003.0015,NEIGHBORHOOD,Gökçebağ Mahallesi
1810971,TR.06.003.0016,NEIGHBORHOOD,Gökler Mahallesi
20247231,TR.06.003.0017,NEIGHBORHOOD,Hacımemi Mahallesi
20247233,TR.06.003.0018,NEIGHBORHOOD,Hacırecep Mahallesi
20247232,TR.06.003.0019,NEIGHBORHOOD,Hacıveli Mahallesi
20247342,TR.06.003.0020,NEIGHBORHOOD,İlhanköy Mahallesi
20247238,TR.06.003.0021,NEIGHBORHOOD,Ilıca Mahallesi
17807626,TR.06.003.0022,NEIGHBORHOOD,Oltan Mahallesi
20249612,TR.06.003.0023,NEIGHBORHOOD,Ömeroğlu Mahallesi
20249616,TR.06.003.0024,NEIGHBORHOOD,Ortabereket Mahallesi
20249608,TR.06.003.0025,NEIGHBORHOOD,Pınaryaka Mahallesi
20247343,TR.06.003.0026,NEIGHBORHOOD,Şeyhmuhittin Mahallesi
20247226,TR.06.003.0027,NEIGHBORHOOD,Sinanlı Cuma Mahallesi
20247237,TR.06.003.0028,NEIGHBORHOOD,Sinanlı Hocasinan Mahallesi
20247235,TR.06.003.0029,NEIGHBORHOOD,Sinanlı Mahkeme Mahallesi
20247227,TR.06.003.0030,NEIGHBORHOOD,Tekke Mahallesi
20247236,TR.06.003.0031,NEIGHBORHOOD,Uğurçayırı Mahallesi
20247347,TR.06.003.0032,NEIGHBORHOOD,Ulupınar Mahallesi
20249615,TR.06.003.0033,NEIGHBORHOOD,Yağmurdede Mahallesi
20340648,TR.06.004.0001,NEIGHBORHOOD,Abazlı Mahallesi
20340649,TR.06.004.0002,NEIGHBORHOOD,Afşar Dadaloğlu Mahallesi
20340650,TR.06.004.0003,NEIGHBORHOOD,Afşar Dedebey Mahallesi
20340651,TR.06.004.0004,NEIGHBORHOOD,Ahmetçayırı Mahallesi
1809667,TR.06.004.0005,NEIGHBORHOOD,Akkoyunlu Mahallesi
20383967,TR.06.004.0006,NEIGHBORHOOD,Aşağıhacıbekir Mahallesi
20340661,TR.06.004.0007,NEIGHBORHOOD,Aşıkoğlu Mahallesi
20383968,TR.06.004.0008,NEIGHBORHOOD,Aydoğan Mahallesi
20383970,TR.06.004.0009,NEIGHBORHOOD,Bahçekaradalak Mahallesi
20383971,TR.06.004.0010,NEIGHBORHOOD,Bektaşlı Mahallesi
